,Pension - Accumulated Benefit Obligation,Pension - Long-Term Asset,Pension Actual Return on Plan Assets,Pension Beginning Plan Assets,Pension Employer Contribution,Employer Contributions - Expected Next Year,Pension - Current Liability,Pension Benefits Paid,Pension - Projected Benefit Obligation,Pension Plans - Interest Cost,Pension Plan Assets,Pension Plans - Other Periodic Cost Components (Net),Periodic Postretirement Benefit Cost (Net),Pension Plans - Rate of Compensation Increase,Pension Plans - Anticipated Long-Term Rate of Return on Plan Assets,Pension Plans - Return on Plan Assets (Expected),Pension Plans - Service Cost,Postretirement - Long-Term Asset,Post Retirement Actual Return on Plan Assets,Postretirement Benefit Asset,Postretirement Benefit Obligation,Postretirement Employer Contributions,Postretirement Interest Cost,Postretirement - Current Liability,Postretirement - Long-Term Liability,Postretirement Other Adjustments (Plan Assets),Postretirement Other Adjustments (Net Benefit Asset/Liability),Postretirement Net Total Other Costs,Postretirement Benefits Paid,Postretirement Participant Contributions,Postretirement Prior Service,Postretirement Service Cost,Global Company Key,Record_Date
26,2007.997043255913,0.0,0.201,1.014,0.014,0.0,0.0,0.201,1.073,0.042,1.028,0.09,-0.725916288989603,3.0369617956064947,6.0,-0.054,0.025,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1104,2019-12-31
27,2007.997043255913,0.0,0.041,1.029,0.223,0.0,0.0,0.204,0.0,0.028,0.0,0.851,-0.725916288989603,3.0369617956064947,6.0,-0.041,0.03,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1104,2020-12-31
28,2007.997043255913,0.649,0.196,12.037,1.428,0.374,0.0,0.619,12.845,54.008472518844215,13.494,29.730194946974425,0.0,3.0369617956064947,5.136904919479373,-93.69901283491096,37.20354439252336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166,2019-12-31
29,2007.997043255913,1.725,0.074,14.495,1.606,0.522,0.0,0.567,13.359,54.008472518844215,15.084,29.730194946974425,0.0,3.0369617956064947,5.136904919479373,-93.69901283491096,37.20354439252336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166,2020-12-31
30,2007.997043255913,2.254,0.819,14.232,1.331,1.196,0.0,0.206,13.563,54.008472518844215,15.817,29.730194946974425,0.0,3.0369617956064947,5.136904919479373,-93.69901283491096,37.20354439252336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166,2021-12-31
31,2007.997043255913,2.732,0.044,14.863,0.826,1.217,0.0,1.057,10.93,54.008472518844215,13.662,29.730194946974425,0.0,3.0369617956064947,5.136904919479373,-93.69901283491096,37.20354439252336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166,2022-12-31
32,2007.997043255913,0.0,0.0,2.363,0.862,1.5,7.044454693729613,0.643,29.336,0.889,2.594,0.109,0.0,3.0369617956064947,5.136904919479373,-0.093,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186,2019-12-31
33,2007.997043255913,0.0,0.0,2.594,2.8,1.9,7.044454693729613,2.57,44.105,0.809,2.768,0.115,0.0,3.0369617956064947,5.136904919479373,-0.077,12.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186,2020-12-31
34,2007.997043255913,0.0,0.0,2.768,3.584,2.8,7.044454693729613,3.325,44.844,1.24,2.905,5.481,0.0,3.0369617956064947,5.136904919479373,-0.072,2.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186,2021-12-31
35,2007.997043255913,0.0,0.0,2.905,1.713,2.8,7.044454693729613,1.473,46.733,1.797,2.835,0.12,0.0,3.0369617956064947,5.136904919479373,-0.087,2.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186,2022-12-31
36,5166.5,26.5,361.5,4504.8,37.5,55.0,10.7,202.3,5373.5,116.0,4775.1,110.4,-0.725916288989603,3.5,7.0,-266.1,46.7,0.0,0.0,-38.6,38.6,0.0,8.668284632641615,7.2,31.4,0.0,1.3,-8.89376460721275,0.0,0.0,0.0,4.729807272727272,1209,2020-09-30
37,5140.0,219.2,590.1,4775.1,44.6,50.0,20.1,211.3,5304.9,94.1,5248.7,101.8,-0.725916288989603,3.5,6.8,-277.9,44.7,0.0,0.0,-27.4,27.4,0.0,8.668284632641615,5.5,21.9,0.0,-6.6,-8.89376460721275,0.0,0.0,0.0,4.729807272727272,1209,2021-09-30
38,3491.4,133.9,-1276.8,5248.7,44.7,35.0,6.2,218.2,3588.3,102.8,3526.0,89.5,-0.725916288989603,3.5,5.8,-235.7,39.8,0.0,0.0,-19.9,19.9,0.0,8.668284632641615,4.9,15.0,0.0,-4.5,-8.89376460721275,0.0,0.0,0.0,4.729807272727272,1209,2022-09-30
39,161.8,0.0,1.0,93.3,12.7,13.5,0.0,3.6,163.5,4.9,88.6,7.5,-5.3,3.0,7.25,-6.9,6.1,38.7,3.1,38.7,48.3,0.0,1.4,0.0,0.0,0.0,-0.0892080745341601,-2.1,2.5,0.0,-18.609389578333904,0.4,1224,2020-09-30
